Date,Value
2023-01-01,104.32525544892106
2023-01-02,95.68118918394873
2023-01-03,94.85515552725535
2023-01-04,100.10791410722283
2023-01-05,106.9736988118065
2023-01-06,122.60582267277346
2023-01-07,109.00137168821216
2023-01-08,112.53374298857632
2023-01-09,93.63976441264872
2023-01-10,94.94297659392456
2023-01-11,101.43877776497966
2023-01-12,103.14305750087956
2023-01-13,108.73508520662423
2023-01-14,109.26803868922248
2023-01-15,106.1162513602397
2023-01-16,94.0709786287039
2023-01-17,99.22363254959603
2023-01-18,83.65017122589776
2023-01-19,101.53959819185215
2023-01-20,122.50024583720588
2023-01-21,106.11707093619978
2023-01-22,102.81057515142015
2023-01-23,90.22428127944981
2023-01-24,114.84010943514538
2023-01-25,108.16529165754142
2023-01-26,94.68357169404041
2023-01-27,126.18190287308269
2023-01-28,97.66264833780218
2023-01-29,100.90950596646792
2023-01-30,110.6716826501433
2023-01-31,117.96155831236003
2023-02-01,119.47056110336251
2023-02-02,96.5777185666557
2023-02-03,102.75887396731041
2023-02-04,91.20748558884267
2023-02-05,111.85605344604961
2023-02-06,102.57121278525722
2023-02-07,113.87161915509412
2023-02-08,116.08768618194225
2023-02-09,103.50457515755593
2023-02-10,109.60034920169649
2023-02-11,91.7977677519519
2023-02-12,110.44049775866625
2023-02-13,98.03647595994185
2023-02-14,100.3117715947459
2023-02-15,114.3369205345659
2023-02-16,127.65130540461084
2023-02-17,123.70884780758809
2023-02-18,101.59270867624785
2023-02-19,90.22213331153486
2023-02-20,110.07928991034478
2023-02-21,94.62681534083453
2023-02-22,108.55848915862175
2023-02-23,103.57010849854105
2023-02-24,116.87245730957221
2023-02-25,114.31223917787973
2023-02-26,86.98540446995092
2023-02-27,100.73204334618119
2023-02-28,115.16657274449634
2023-03-01,95.82577223030096
2023-03-02,106.14217109302137
2023-03-03,129.10720437138738
2023-03-04,95.3291603516167
2023-03-05,108.95372673284173
2023-03-06,112.8720048908241
2023-03-07,101.70683170973534
2023-03-08,118.02800444836231
2023-03-09,102.6215093013264
2023-03-10,121.72980426631915
2023-03-11,119.22012279756447
2023-03-12,102.24259725846234
2023-03-13,111.01632331066004
2023-03-14,107.79017535857112
2023-03-15,97.89196360434762
2023-03-16,113.41198277026253
2023-03-17,101.1225643566619
2023-03-18,119.92282317261615
2023-03-19,113.79651825201492
2023-03-20,120.57763275597802
2023-03-21,113.59753454747855
2023-03-22,117.16769813007606
2023-03-23,127.39364137318199
2023-03-24,93.56532597116025
2023-03-25,105.20675896267095
2023-03-26,115.09171570955354
2023-03-27,107.54392972679382
2023-03-28,100.50718653522779
2023-03-29,108.96699744732953
2023-03-30,120.67402443697858
2023-03-31,91.30216233379642
2023-04-01,121.17787474286729
2023-04-02,115.70752859470315
2023-04-03,117.38399026565045
2023-04-04,125.96991804776916
2023-04-05,121.11403334815232
2023-04-06,109.97976897422977
2023-04-07,129.33897812979504
2023-04-08,110.62387390095913
2023-04-09,94.46283778062163
2023-04-10,113.79821441679618
2023-04-11,120.5836727601328
2023-04-12,102.14433944511039
2023-04-13,102.71741255480138
2023-04-14,107.80026350123822
2023-04-15,110.17103621156906
2023-04-16,117.36233516569747
2023-04-17,129.55617102618203
2023-04-18,99.35583945560218
2023-04-19,113.72160579081958
2023-04-20,111.03136953967325
2023-04-21,123.90345384846023
2023-04-22,117.56118527681024
2023-04-23,93.44222742802656
2023-04-24,109.75631376507059
2023-04-25,117.9399346214307
2023-04-26,129.47026445270274
2023-04-27,124.61674149801586
2023-04-28,108.25711511849192
2023-04-29,112.55914819526961
2023-04-30,101.70118731250423
2023-05-01,117.85838913303763
2023-05-02,110.3954551447066
2023-05-03,118.85275881386839
2023-05-04,101.44326705127799
2023-05-05,115.87275198636199
2023-05-06,109.76194840583402
2023-05-07,92.988730357799
2023-05-08,129.49010124691938
2023-05-09,121.49461312670616
2023-05-10,127.37565937222125
2023-05-11,118.85751663341236
2023-05-12,125.16603053405797
2023-05-13,118.66450782444207
2023-05-14,116.19758323728756
2023-05-15,113.81174624743484
2023-05-16,104.90431500670002
2023-05-17,125.1023105608291
2023-05-18,110.56767009374293
2023-05-19,115.96245113411666
2023-05-20,125.4385238985871
2023-05-21,113.2932588796557
2023-05-22,124.29094101841639
2023-05-23,99.75899028888469
2023-05-24,108.35964331821066
2023-05-25,114.82324845314135
2023-05-26,98.2075464212376
2023-05-27,111.17633803916503
2023-05-28,99.44465398874661
2023-05-29,113.47451185519806
2023-05-30,114.10351375380908
2023-05-31,125.39935470124105
2023-06-01,120.2437704918218
2023-06-02,126.96597537828399
2023-06-03,102.16469575126743
2023-06-04,112.81021270692442
2023-06-05,117.26366827276046
2023-06-06,129.61775409118013
2023-06-07,108.99581767170622
2023-06-08,114.84588730893412
2023-06-09,129.1332196423243
2023-06-10,112.2740415586466
2023-06-11,122.19085853778253
2023-06-12,130.32614117167148
2023-06-13,120.17835613026818
2023-06-14,100.48845485203577
2023-06-15,137.40071526811334
